,Breaths,Recording Length (s),Mean Breath Rate,Minute Ventilation,AUC Mean,AUC Std,Insp Time Mean,Insp Time Std,Exp Time Mean,Exp Time Std,TTotal Mean,TTotal Std,SampEn TI,SampEn TE,SampEn TTotal,ShanEn TI,ShanEn TE,ShanEn TTotal,Poincare SD1 Burst Duration,Poincare SD2 Burst Duration,Poincare SD1/SD2 Burst Duration,Poincare SD1 Interburst Interval,Poincare SD2 Interburst Interval,Poincare SD1/SD2 Interburst Interval,Poincare SD1 Total Cycle Time,Poincare SD2 Total Cycle Time,Poincare SD1/SD2 Total Cycle Time
10-17-17-2_st2_lps-2.txt,26,13.239000000000033,117.83367323815969,29.85450332571058,0.04898694225008589,0.048008069264518456,0.15823076923076174,0.14637683394171375,0.3100800000000072,0.6070576196704778,0.4678399999999965,0.6166667612252414,1.9126241714218464,0.6411874416292344,0.941608539858445,4.700439718141092,4.5638561897747225,4.643856189774723,0.0820915878759704,0.19269630821584557,0.42601536394779743,0.6104660780627251,0.625525095392055,0.9759257982768996,0.6280030077776703,0.629050637755933,0.9983345856193708
10-17-17-2_st2_lps-baseline.txt,238,229.3989999999999,62.249617478716154,9.08101044518901,0.015000329433575906,0.012517923653434907,0.04904621848739831,0.037845022962219664,0.9168691983122329,2.3144018966050464,0.9659620253164557,2.305666070378319,1.971552579668651,0.45347784445209893,0.4409511176237318,7.016528610043262,7.738912974618434,7.742098153952459,0.0346238244364763,0.04094558270576241,0.8456058541231499,1.656988288597825,2.8300993898582725,0.5854876668062194,1.6515531871556461,2.8189602771708384,0.5858731676819426
10-17-17-2_st2_lps-hypoxia.txt,198,179.59899999999993,66.14736162228077,16.091013540123818,0.07629641026675649,0.4663879612507204,0.16727777777779662,0.8582422302996994,0.7272538071065805,1.8763430970415542,0.8952233502538067,2.0243325003422936,0.1726164581929506,0.2983398602341639,0.36143682237857533,6.988478574677681,7.322460195046936,7.44179915445976,0.7513275781141489,0.9570362977975876,0.7850565123215986,1.6703666630084832,2.0389315329796385,0.8192362695805951,1.8314639423856949,2.1825296803096745,0.8391473247345861
10-17-17-2_st2_lps-recovery.txt,411,170.19899999999961,144.88921791549924,23.452219154601483,0.0153372195941514,0.011923849890352292,0.06343795620437813,0.044409813690530736,0.3508146341463433,0.4933987105685548,0.41393658536585354,0.4918523433774723,2.0992797758054094,0.8983536937860203,0.8733932493995569,7.532547398950499,8.195229871502253,8.255544642119814,0.04095616368561292,0.04718480094495459,0.8679948387064734,0.44118547232543515,0.5409957717001639,0.8155063226075515,0.4441424518175271,0.5359096254604264,0.828763714471339
10-17-17-2_st2_lps.txt,25,11.519000000000005,130.21963712127783,33.043252550177684,0.04971215328343623,0.048976279464376805,0.16903999999994085,0.15917524430631874,0.16020833333338183,0.1297343372583955,0.32799999999999346,0.1698168130663136,1.8325814637483102,1.6314168191528755,2.324563999712821,4.4838561897747224,4.41829583405449,4.584962500721156,0.1251159982609489,0.1897211747061869,0.6594730316988112,0.09305368696528656,0.16187859228114876,0.5748362748526504,0.16638453877928222,0.17910908483998003,0.9289564453301394
10-17-17-2_st2_sham-baseline.txt,236,192.1989999999999,73.67364034152106,34.40074820529471,0.0436154166802563,0.0921082318567475,0.06657203389830754,0.11813339514466777,0.7308425531914869,1.2880069630683766,0.7975702127659576,1.2778624565406589,0.8590872415168106,0.5337573459781753,0.5577353965870936,7.079825159605355,7.535925031597721,7.671135403984178,0.11421573370275986,0.12238638470685087,0.9332388890834388,1.322363224229586,1.2578435828421908,1.0512938510538872,1.3232013101465878,1.2359540923549477,1.0705909858070877
10-17-17-2_st2_sham-hypoxia.txt,90,119.69900000000007,45.113158840090534,48.426767603527104,0.6161218569491469,3.2236013288839307,0.469900000000017,2.2414904369390087,0.8185168539325659,2.3687089173448865,1.2934943820224705,3.3411610345742475,0.10494445573919702,0.3354513074871058,0.37776250555882857,6.141744485170478,6.30994817813311,6.3548919983578305,2.1811494627064008,2.3237830556956696,0.9386200907870168,1.8974513108415767,2.782036036803318,0.682036927538089,3.035928299789779,3.6522412297727502,0.8312507605032103
10-17-17-2_st2_sham-recovery.txt,159,93.89900000000011,101.59852607588994,19.118416353761962,0.028278859739682964,0.02655101157969359,0.08606289308175366,0.07430099295363082,0.5064810126582358,0.6112405389655637,0.5916455696202533,0.6097636923063207,1.6929164444128724,0.9063028828556049,0.9242234268643283,6.8488927822603225,7.151882013999903,7.134446017150767,0.06967217640864835,0.07828231904412923,0.8900116560084638,0.6574323149436792,0.5650163301757044,1.1635633871665902,0.6582843838597711,0.5605671411862064,1.1743185347374925
10-18-17-2-ST2_LPS-baseline.txt,301,106.519,169.5472169284353,23.716143792656947,0.008529742380098038,0.005032563293951451,0.05543189368770784,0.028357931374296305,0.2991733333333332,0.11339672227283513,0.35465000000000013,0.111199823890748,1.9878632740185431,1.4419037097898668,1.460652771971474,6.97903794169051,7.576193003898702,7.63862319040937,0.0229390858822028,0.03257690686838251,0.7041517469685347,0.09572114342317811,0.12834171456714732,0.7458303307386283,0.0979522014172512,0.12309940734531907,0.7957162713421941
10-18-17-2-ST2_LPS-hypoxia.txt,133,171.99900000000002,46.39561857917778,15.13581224953682,0.15637833311265265,0.6335690466588441,0.23836090225565104,0.8917597398735386,0.9732651515151413,3.6420633260013,1.2133257575757566,3.7006359168846314,0.1431797152508781,0.25334881506933776,0.3730335236518554,6.588823036874821,6.796251032220846,6.699623096598398,0.7727643870134654,1.0023024599193893,0.7709892152470776,3.7119988262229637,3.5978005229496497,1.0317411436639874,3.787651356382463,3.638353138447261,1.0410345593882946
